,Year,Qtr,Value
253,2010,2,100.643
254,2010,3,100.76
255,2010,4,100.497
256,2011,1,101.285
257,2011,2,99.427
258,2011,3,99.499
259,2011,4,97.724
260,2012,1,99.488
261,2012,2,99.772
262,2012,3,99.406
263,2012,4,101.355
264,2013,1,99.457
265,2013,2,100.28
266,2013,3,99.461
267,2013,4,99.758
268,2014,1,101.048
269,2014,2,100.055
270,2014,3,100.429
271,2014,4,101.725
272,2015,1,103.701
273,2015,2,103.828
274,2015,3,103.749
275,2015,4,103.7
276,2016,1,103.817
277,2016,2,103.274
278,2016,3,103.262
279,2016,4,103.697
280,2017,1,103.968
281,2017,2,104.366
282,2017,3,105.171
283,2017,4,105.846
284,2018,1,105.659
285,2018,2,105.316
286,2018,3,106.198
287,2018,4,106.301
288,2019,1,108.44
289,2019,2,107.798
290,2019,3,107.495
291,2019,4,108.225
292,2020,1,110.152
293,2020,2,116.651
294,2020,3,113.907
295,2020,4,116.171
296,2021,1,114.849
297,2021,2,115.152
298,2021,3,115.035
299,2021,4,115.726
300,2022,1,114.427
