,Year,Qtr,Value
253,2010,2,98.612
254,2010,3,99.152
255,2010,4,99.568
256,2011,1,98.894
257,2011,2,99.01
258,2011,3,98.694
259,2011,4,99.377
260,2012,1,99.828
261,2012,2,100.239
262,2012,3,100.137
263,2012,4,99.801
264,2013,1,100.335
265,2013,2,100.001
266,2013,3,100.462
267,2013,4,101.149
268,2014,1,100.121
269,2014,2,101.066
270,2014,3,101.946
271,2014,4,101.369
272,2015,1,102.229
273,2015,2,102.512
274,2015,3,102.476
275,2015,4,102.061
276,2016,1,102.394
277,2016,2,102.308
278,2016,3,102.71
279,2016,4,103.289
280,2017,1,103.362
281,2017,2,103.226
282,2017,3,104.081
283,2017,4,104.544
284,2018,1,104.885
285,2018,2,105.257
286,2018,3,105.599
287,2018,4,105.632
288,2019,1,106.529
289,2019,2,107.497
290,2019,3,107.832
291,2019,4,108.196
292,2020,1,107.526
293,2020,2,110.186
294,2020,3,111.849
295,2020,4,111.064
296,2021,1,111.669
297,2021,2,112.563
298,2021,3,111.441
299,2021,4,113.167
300,2022,1,111.029
